student_id,lms_logins_per_week,assignment_submit_rate,avg_days_late,current_gpa,midterm_score,prior_gpa,credit_load,financial_aid_flag,first_gen_flag,commute_distance_mi,not_retained,major,term
112273,8.2,0.915,0.0,2.89,68.4,3.22,18,1,0,3.2,1,CS,Fall 2024
113346,7.0,0.902,0.0,3.3,90.5,3.65,18,1,1,5.9,0,Engineering,Fall 2024
113817,10.6,0.362,1.4,1.75,32.7,2.53,15,0,1,2.4,1,History,Spring 2025
102535,4.9,,11.9,2.61,60.4,3.18,15,0,0,1.3,1,Engineering,Fall 2024
106840,4.1,0.493,4.6,2.82,51.6,2.68,15,0,1,12.7,0,computer science,Fall 2024
109747,5.7,0.858,2.3,3.31,79.6,3.55,15,0,1,1.5,0,Nursing,Spring 2025
105861,4.8,0.705,2.3,2.42,38.2,2.68,12,0,0,6.0,1,BUS,Spring 2025
101544,7.8,0.514,3.1,2.17,32.3,3.01,15,0,0,4.6,1,Computer Science,Fall 2025
112021,10.4,0.547,0.1,2.58,59.7,3.23,12,0,0,13.8,0,Business Admin,Spring 2025
114360,3.2,0.813,0.1,2.94,77.7,3.12,15,0,0,7.1,0,Biology,Fall 2025
105588,10.5,0.667,1.7,2.78,61.0,3.38,6,1,0,0.1,1,Engineering,Fall 2025
109500,13.8,0.924,0.0,2.5,72.0,3.3,12,0,1,0.9,0,Business Admin,Spring 2025
102907,7.8,0.681,0.5,3.33,80.3,3.65,15,0,0,7.3,0,Biology,Fall 2025
111083,8.2,0.818,0.0,2.84,58.2,3.4,12,1,1,1.2,0,History,Spring 2025
102411,4.4,0.702,3.9,2.72,69.1,2.87,15,0,1,14.9,1,History,Fall 2024
110600,6.1,0.591,1.9,2.55,63.7,3.0,12,0,1,5.6,1,Comp Sci,Spring 2025
100154,9.5,0.835,7.6,2.16,61.8,2.94,15,0,0,11.8,0,computer science,Spring 2025
104024,10.5,0.706,2.5,2.82,69.0,3.06,6,0,1,16.3,1,Engineering,Spring 2025
108124,3.3,0.508,1.0,2.2,42.0,2.42,12,0,1,5.7,0,Nursing,Fall 2025
106045,10.6,0.918,0.0,3.89,81.9,3.19,15,0,0,17.9,0,Business,Fall 2025
103378,8.9,0.882,0.6,2.8,54.1,3.12,9,0,0,5.7,0,Engineering,Spring 2025
100997,12.6,0.875,1.5,3.69,78.0,3.64,12,1,0,10.7,0,Computer Science,Fall 2024
104790,7.7,0.269,4.3,2.03,42.4,2.36,15,1,0,3.6,0,History,Fall 2024
109373,12.2,0.39,2.3,2.34,35.7,2.5,15,1,1,12.7,1,Nursing,Fall 2024
113157,14.4,0.507,7.3,2.69,56.9,3.07,12,0,0,5.8,0,computer science,Fall 2025
105326,6.7,0.618,1.8,2.85,,3.0,12,1,0,7.6,0,Engineering,Spring 2025
111148,12.3,0.814,3.6,2.82,64.5,3.44,9,0,0,0.3,0,History,Spring 2025
111134,11.2,,0.1,2.67,55.0,3.06,12,1,1,18.1,0,computer science,Fall 2025
107467,7.0,0.968,5.1,3.41,,3.67,9,1,0,3.0,0,BUS,Fall 2025
107363,6.4,0.762,0.0,3.55,83.1,4.0,15,0,1,1.7,0,Nursing,Spring 2025
111412,5.0,,2.6,2.99,59.5,,15,0,1,0.6,0,Business,Fall 2024
103446,6.1,0.744,0.0,2.55,57.7,3.29,15,1,1,2.8,0,History,Fall 2025
109617,4.7,0.564,2.5,2.05,46.8,2.29,12,0,0,10.4,1,computer science,Fall 2025
104430,8.6,,2.1,2.39,51.3,2.26,12,1,0,6.5,0,History,Fall 2024
113076,7.2,,0.8,2.99,70.7,2.68,15,0,0,14.3,0,Psychology,Fall 2024
106725,8.7,0.526,3.4,2.12,38.4,3.0,12,1,0,15.5,0,Comp Sci,Fall 2024
104413,17.5,0.915,1.4,3.38,63.2,3.9,9,1,0,10.6,0,History,Fall 2024
105951,5.5,0.565,1.5,3.03,58.1,3.25,6,0,0,9.6,0,Biology,Fall 2025
100609,0.9,0.633,4.7,2.6,61.4,2.77,15,0,0,7.1,1,Biology,Spring 2025
100663,11.2,0.519,1.8,2.52,44.9,3.29,12,0,0,,1,Biology,Fall 2025
106498,6.8,0.893,1.5,3.62,72.6,3.67,15,0,0,2.4,0,Nursing,Spring 2025
103995,11.2,0.929,4.6,3.2,74.8,4.0,15,0,0,,0,Comp Sci,Fall 2024
107793,5.8,0.591,2.6,2.49,61.6,2.88,18,1,0,4.9,1,Nursing,Fall 2025
104811,8.2,0.969,0.0,3.53,,3.45,18,0,1,3.3,0,Nursing,Fall 2024
104847,11.7,0.657,2.2,2.33,61.1,2.93,12,0,0,6.3,0,Biology,Spring 2025
102091,11.3,0.814,4.1,3.15,60.9,3.09,18,0,1,8.8,0,Psychology,Fall 2025
112873,10.5,,0.1,2.89,60.3,3.24,15,1,1,20.2,1,Nursing,Fall 2024
104551,12.7,0.492,3.9,2.59,51.2,3.07,12,1,1,2.8,0,Biology,Fall 2024
100149,8.4,0.458,2.6,2.4,48.6,2.98,15,0,0,3.0,1,Biology,Fall 2024
101320,13.4,0.872,1.0,3.65,87.6,3.53,15,0,0,0.1,0,Psychology,Fall 2025
104593,9.7,0.877,0.0,3.22,67.9,3.79,9,1,0,0.2,0,computer science,Spring 2025
114787,11.6,0.888,3.1,3.24,68.1,3.52,6,0,1,7.1,0,Engineering,Fall 2024
104549,4.9,0.525,0.8,2.74,37.9,2.64,12,1,0,,1,computer science,Spring 2025
106109,9.0,0.622,2.2,2.36,54.0,2.62,9,1,0,6.9,0,Biology,Spring 2025
105476,6.2,0.799,0.4,3.55,72.8,3.43,9,0,0,2.4,0,Biology,Fall 2025
113391,6.9,0.663,2.1,2.82,60.4,2.95,15,1,1,15.9,0,Psychology,Spring 2025
102181,11.4,0.944,2.4,3.18,63.7,3.68,9,1,1,1.2,0,History,Fall 2025
101625,10.0,0.705,2.4,3.42,76.9,3.05,15,0,1,10.0,0,Biology,Fall 2024
111160,5.1,0.796,2.1,2.7,59.9,3.09,15,1,0,11.6,0,computer science,Spring 2025
103649,12.7,0.713,3.6,3.12,68.3,2.97,9,1,1,11.7,0,Biology,Fall 2025
109642,10.7,0.74,2.3,2.54,47.9,2.59,12,1,1,8.1,0,Psychology,Spring 2025
112745,12.0,0.875,1.4,3.09,73.5,3.12,15,1,0,0.6,0,Psychology,Spring 2025
101542,10.2,0.47,3.8,2.22,,2.91,15,1,0,14.0,0,Business Admin,Fall 2024
108624,5.6,0.448,1.9,1.67,40.4,2.32,6,1,0,25.6,1,Nursing,Spring 2025
106200,8.3,0.789,2.5,2.99,77.2,3.18,15,1,0,4.0,0,History,Fall 2024
108349,9.1,0.935,3.5,4.0,70.3,4.0,15,1,0,4.2,0,History,Spring 2025
101896,2.7,0.762,1.6,2.73,65.2,2.52,15,0,0,6.3,0,Nursing,Spring 2025
110898,6.4,0.801,2.2,2.74,63.3,2.97,15,1,0,36.5,0,Nursing,Fall 2025
104726,4.8,0.822,1.0,3.05,70.4,2.96,12,0,1,0.4,0,Biology,Fall 2024
113835,7.1,0.853,2.4,2.63,60.6,2.68,12,1,1,21.1,1,Biology,Fall 2025
114878,10.5,0.894,0.5,4.0,75.5,3.84,12,1,0,6.4,0,Nursing,Fall 2024
111291,3.2,0.207,3.9,1.95,47.9,1.48,15,1,0,2.1,1,CS,Fall 2024
112519,2.7,0.721,1.6,2.84,63.6,2.98,12,0,0,8.1,0,Computer Science,Fall 2024
109575,11.5,0.56,9.5,3.23,57.1,3.21,15,1,0,,0,Biology,Spring 2025
112147,8.4,0.377,6.1,1.42,37.4,,18,0,1,1.0,1,CS,Fall 2025
105865,10.8,0.676,1.2,2.8,,2.97,15,1,0,9.5,0,Biology,Fall 2025
104344,1.9,0.744,1.7,2.71,68.9,2.55,9,0,1,4.1,0,Nursing,Fall 2025
102272,6.4,0.873,1.4,2.87,73.6,3.42,12,1,1,9.0,0,Engineering,Fall 2025
114972,12.4,0.627,2.4,2.84,57.5,2.97,12,1,0,0.3,0,computer science,Fall 2025
110617,7.2,0.68,2.1,2.59,64.4,3.01,15,0,1,1.4,0,Biology,Fall 2025
108828,5.4,0.408,2.9,2.9,,2.56,12,1,0,10.0,1,Biology,Spring 2025
106967,6.2,,3.3,3.03,70.6,3.47,12,1,0,5.4,1,Biology,Spring 2025
108451,7.4,0.8,4.4,2.7,57.8,3.28,15,1,0,1.2,1,Comp Sci,Spring 2025
106199,8.5,0.748,0.5,2.77,67.9,2.78,9,0,1,4.4,0,Biology,Fall 2025
105150,6.2,0.902,0.0,3.33,76.8,3.42,9,1,0,19.9,1,Psych,Fall 2024
114297,6.0,0.68,0.7,2.91,51.6,3.02,15,1,0,31.0,1,Biology,Spring 2025
110736,4.5,0.861,0.0,3.41,78.6,3.53,15,1,0,1.1,0,History,Fall 2025
107700,8.1,0.565,1.6,2.62,65.4,2.61,9,1,0,0.6,0,History,Fall 2024
100539,7.0,0.358,1.9,1.98,45.0,2.59,15,0,1,9.6,1,Comp Sci,Fall 2024
111161,13.1,0.632,1.4,2.61,53.8,2.59,9,1,1,0.8,1,Nursing,Fall 2025
105399,6.5,0.534,0.2,2.62,52.4,2.96,12,1,0,24.3,0,Nursing,Fall 2024
108931,13.4,0.868,8.3,3.06,60.9,2.9,12,1,0,4.6,0,Computer Science,Fall 2024
114339,10.2,0.926,1.3,3.46,90.8,3.81,6,1,0,2.1,0,Engineering,Fall 2024
109641,6.4,0.611,1.2,1.83,40.0,,9,0,0,0.7,0,Psych,Fall 2024
114759,5.9,,3.8,2.68,63.9,2.68,15,0,0,0.5,0,Psychology,Spring 2025
113447,10.9,0.284,4.5,1.86,36.3,2.26,15,1,0,0.2,1,computer science,Spring 2025
107155,7.1,0.699,2.7,2.68,50.5,3.21,15,1,1,21.5,0,Biology,Spring 2025
104484,3.9,0.752,7.2,2.87,,3.04,9,1,1,2.8,0,Biology,Fall 2025
113247,15.5,0.672,0.5,2.89,59.6,2.98,12,1,0,5.0,0,Business,Fall 2025
109097,5.3,0.802,2.3,3.19,80.3,3.39,18,1,0,5.2,0,History,Fall 2025
106269,6.8,0.786,1.3,3.25,86.9,3.44,12,1,0,3.0,0,Biology,Spring 2025
102301,5.2,0.827,0.9,2.64,,2.59,18,1,1,2.4,0,Nursing,Fall 2024
108295,7.6,0.871,0.5,2.75,54.9,2.73,12,0,0,15.4,0,computer science,Fall 2025
108561,8.8,0.655,5.0,2.67,51.3,2.64,12,0,0,2.4,0,Business Admin, fall 2025 
101100,10.4,,0.2,3.06,72.2,3.52,15,0,0,13.1,0,Nursing,Spring 2025
108181,8.9,0.8,6.3,3.43,61.3,3.54,15,1,1,10.2,0,History,Fall 2025
105136,12.1,,4.4,3.58,71.6,3.82,9,1,0,8.2,0,Business,Spring 2025
108392,9.1,0.651,1.4,2.75,56.6,3.29,12,0,0,3.4,0,History,Spring 2025
103996,9.7,0.872,9.6,3.35,78.1,3.37,12,1,0,6.4,1,computer science,Spring 2025
107422,3.2,0.585,2.7,2.02,58.6,2.49,15,1,0,1.3,1,History,Fall 2024
107459,8.9,0.89,3.2,2.98,65.8,3.29,12,0,0,0.4,0,Biology,Fall 2025
110260,8.2,0.504,2.9,2.43,50.2,2.75,15,1,1,0.7,1,computer science,Fall 2024
108646,7.6,0.809,5.9,2.78,,3.3,12,1,1,9.3,1,CS,Fall 2024
102961,9.3,0.635,2.6,2.31,56.7,2.46,9,0,1,8.8,1,History,Spring 2025
106357,10.1,0.461,3.0,1.94,49.6,2.09,15,0,1,7.6,1,Nursing,Spring 2025
105122,13.8,0.764,0.5,2.95,64.2,3.63,12,0,0,3.8,0,Psychology,Spring 2025
112014,8.5,0.884,1.4,3.43,71.9,3.39,12,0,0,5.0,0,Psychology,Fall 2024
105788,4.4,0.055,2.9,1.34,20.4,1.72,18,0,1,7.8,1,Engineering,Fall 2024
105689,6.2,,1.5,3.48,78.5,3.58,15,1,1,3.8,0,Computer Science,Fall 2024
101369,11.7,0.686,1.6,3.31,77.5,3.38,9,1,0,4.0,0,BUS,Fall 2025
102084,8.5,0.639,0.9,2.27,60.8,2.72,18,0,1,2.2,1,Nursing,Spring 2025
110509,10.0,0.762,3.0,2.32,53.9,2.52,12,1,1,2.6,0,History,Fall 2025
106850,8.0,0.696,16.1,2.46,60.1,2.87,12,0,1,1.6,0,Nursing,Fall 2025
113361,9.7,0.897,0.0,3.38,78.0,3.4,15,1,0,31.8,1,Psychology,Fall 2024
112227,6.7,0.904,1.7,2.85,67.0,2.69,12,1,0,4.9,0,Biology,Spring 2025
105808,6.3,0.646,1.4,2.62,68.9,2.85,18,1,0,4.8,0,Nursing,Fall 2025
107252,5.5,0.777,1.8,2.33,44.8,2.97,12,0,1,4.6,0,History,Fall 2025
111466,15.2,0.846,3.7,3.19,69.6,3.46,15,0,0,6.4,0,Psychology,Fall 2025
101420,7.5,0.484,1.6,2.68,61.4,2.75,12,0,1,10.8,0,Biology,Fall 2024
102538,9.3,0.839,2.8,3.65,79.3,3.72,6,1,0,3.2,0,Biology,Fall 2025
100021,14.0,0.961,0.0,3.59,74.8,4.0,15,0,0,3.2,0,Biology,Fall 2024
102674,11.4,0.905,7.6,3.44,74.3,3.93,15,0,0,15.1,0,Business Admin,Fall 2025
101783,8.8,0.711,0.0,3.2,70.1,3.09,15,1,0,12.2,0,Business Admin,Spring 2025
100100,12.3,0.834,0.5,3.11,65.7,3.53,9,0,1,20.3,0,History,Spring 2025
107875,7.7,0.76,2.7,3.52,66.8,3.43,12,0,0,31.3,0,Biology,Spring 2025
113434,13.1,0.71,0.2,3.16,,3.54,9,1,1,8.8,0,Business,Spring 2025
114102,4.3,0.3,1.2,1.57,25.1,2.19,12,0,1,0.6,1,Engineering,Fall 2024
101448,11.5,0.768,1.6,2.3,73.2,3.11,12,1,0,3.1,1,Biology,Fall 2025
100473,6.4,0.67,2.3,2.95,78.7,3.13,9,0,0,44.4,0,Biology,Fall 2024
113091,11.6,0.591,5.5,2.35,63.3,3.22,18,0,1,4.2,0,Engineering,Fall 2024
101592,7.5,0.819,0.0,3.31,73.3,3.59,18,1,1,31.0,0,Computer Science,Fall 2025
103538,5.3,0.699,0.5,2.09,56.5,2.88,18,0,0,15.7,1,Biology,Spring 2025
111527,8.5,0.899,0.2,3.9,71.8,3.93,9,0,1,18.1,0,Engineering,Fall 2025
104379,10.0,,1.4,2.9,57.5,2.92,15,0,0,4.5,0,Business,Fall 2024
107588,10.8,0.84,7.3,3.12,76.6,3.38,12,1,0,1.1,0,History,Spring 2025
102768,2.0,0.754,1.6,2.21,57.8,2.87,12,1,1,0.6,0,Nursing,Spring 2025
109993,12.5,0.846,0.0,3.52,,4.0,15,1,0,2.2,0,Engineering,Fall 2024
102389,5.3,0.643,1.4,2.23,64.8,2.55,12,0,0,,0,Engineering,Fall 2024
107000,15.8,0.908,1.4,3.18,70.5,3.76,9,1,1,2.6,0,Business,Fall 2024
112277,6.2,,2.8,2.76,68.4,3.33,15,1,1,7.1,1,Psych,Spring 2025
106661,11.2,0.783,1.3,2.87,68.1,3.24,9,0,1,2.0,0,Nursing,Fall 2024
106801,5.8,0.916,1.1,3.05,69.2,3.32,6,0,1,8.6,0,Engineering,Fall 2025
110796,11.1,0.86,2.6,2.91,67.4,2.81,18,1,0,3.3,1,Nursing, fall 2025 
106699,6.5,0.902,0.0,3.17,59.0,3.46,15,1,0,3.8,0,History,Spring 2025
103225,12.7,0.918,7.8,3.11,75.3,3.23,12,0,1,19.8,0,Engineering,Spring 2025
105189,7.5,0.925,2.1,3.21,71.1,3.44,9,1,0,13.7,0,History,Spring 2025
109198,14.4,0.635,1.5,2.42,58.5,3.35,15,1,0,1.5,0,Nursing,Spring 2025
111312,7.6,0.845,5.2,3.18,76.0,3.66,12,1,0,1.9,1,History,Fall 2024
100929,14.2,0.85,1.9,3.17,65.3,2.95,9,1,1,6.2,0,Psych,Fall 2025
105564,11.8,0.787,1.4,3.4,77.7,3.75,15,0,1,0.2,1,CS,Fall 2024
104729,7.8,0.338,0.0,3.03,54.3,3.12,12,0,0,0.1,0,Biology,Spring 2025
105397,9.3,0.88,0.3,3.31,78.8,3.53,12,0,0,3.8,0,computer science,Fall 2024
105423,13.5,0.944,4.9,3.06,78.2,3.4,12,1,0,0.4,0,Engineering,Fall 2024
105106,3.8,,1.6,1.38,30.3,2.03,15,1,0,0.2,1,Business,Spring 2025
113069,7.9,0.386,6.3,1.42,30.2,1.96,12,0,0,1.4,1,Psych,Fall 2025
109318,6.4,0.301,3.6,0.99,31.1,2.02,12,0,1,1.2,1,History,Fall 2024
108947,11.2,0.865,2.6,2.8,75.2,3.19,15,0,1,8.7,0,Nursing, fall 2025 
110674,9.9,0.678,5.8,2.8,53.5,3.26,12,1,1,2.8,1,Biology,Fall 2025
114566,5.8,0.603,3.9,3.38,64.6,3.52,12,0,1,7.1,1,BUS,Fall 2024
105948,9.2,0.793,1.8,3.27,78.0,3.59,9,1,0,17.1,0,Engineering,Fall 2025
107460,9.7,0.855,1.8,3.07,64.2,3.13,18,0,0,7.1,1,Nursing,Fall 2025
110550,8.9,0.723,2.0,2.86,68.3,3.45,15,1,1,19.5,1,Engineering,Fall 2024
111818,7.6,,0.8,2.19,50.1,2.54,12,1,0,0.6,0,Engineering,Fall 2024
104745,4.2,0.515,1.5,1.72,41.0,2.59,15,0,0,14.2,1,History,Fall 2025
104983,5.3,0.278,1.0,1.93,45.1,2.36,12,1,0,10.6,0,History,Fall 2025
104803,5.7,0.361,3.1,1.9,39.0,2.42,12,0,0,5.7,0,Computer Science,Spring 2025
101189,13.8,0.868,1.0,2.86,61.7,3.33,15,1,0,4.0,0,Computer Science,Spring 2025
109061,4.0,0.347,5.6,2.17,39.8,2.41,12,0,1,4.6,1,History,Fall 2024
102127,7.9,0.776,0.5,2.9,57.7,3.34,15,0,0,0.2,0,History,Fall 2025
105363,8.4,0.634,3.2,1.93,47.6,2.75,12,1,1,9.4,1,Business,Fall 2025
100738,4.5,0.372,16.8,2.27,48.4,2.5,15,1,0,3.1,1,History,Fall 2024
101434,7.7,,0.9,2.15,47.9,2.64,12,1,0,7.1,1,Computer Science,Fall 2024
104722,8.9,0.739,2.9,2.68,65.1,2.74,18,1,0,7.0,1,Engineering,Fall 2024
104076,9.7,0.78,1.1,2.78,72.8,3.09,15,1,0,2.6,0,Computer Science,Fall 2024
110029,9.2,,1.0,2.22,57.0,2.55,15,1,0,21.4,0,Nursing,Fall 2024
102123,18.2,0.837,2.2,3.67,75.1,4.0,15,0,0,10.0,0,Psychology,Fall 2025
108948,11.8,0.614,2.1,2.99,55.3,3.18,15,1,0,3.6,0,Business Admin,Fall 2025
104042,6.0,0.246,2.0,1.38,33.0,1.8,12,0,0,12.2,1,CS,Fall 2024
114333,10.7,0.593,0.4,2.28,61.2,2.98,15,0,0,4.1,0,Biology,Fall 2024
108070,9.2,0.591,2.9,3.19,74.8,3.08,12,0,0,4.4,0,History,Fall 2024
110867,5.9,0.464,2.1,1.63,38.3,2.06,15,0,0,0.9,1,History,Spring 2025
112100,4.4,0.308,2.2,1.91,43.4,2.68,15,1,0,15.3,1,Engineering,Fall 2025
110165,5.7,0.59,4.4,2.55,44.6,2.38,12,1,1,14.1,1,CS,Spring 2025
105439,2.8,0.652,0.8,3.23,54.9,3.28,12,1,0,8.5,0,Business,Fall 2025
102753,4.9,0.565,5.0,2.34,55.4,2.78,15,1,0,9.9,1,Biology,Fall 2025
109058,8.4,0.769,0.1,3.94,86.0,3.52,12,1,0,15.7,0,Business,Fall 2024
114968,12.7,0.841,3.6,3.07,72.6,3.95,15,1,1,1.2,0,Business,Fall 2025
110745,6.3,0.522,14.1,2.68,,2.64,15,0,0,9.8,0,Biology,Fall 2024
112234,14.8,0.693,2.9,2.7,72.1,2.87,15,1,1,4.1,0,Engineering,Fall 2025
103553,10.9,0.715,1.9,3.22,66.2,3.25,15,0,0,9.4,0,CS,Spring 2025
109112,6.1,0.766,1.3,3.05,56.3,3.0,15,0,0,8.5,0,Psychology,Spring 2025
107130,8.7,0.305,2.6,2.5,45.9,2.5,18,0,0,2.1,1,Psychology,Fall 2024
102373,4.9,0.93,0.6,3.22,81.9,3.26,12,1,0,0.6,1,Psych,Fall 2024
109171,6.6,0.655,0.3,2.76,63.1,3.31,15,1,1,6.5,0,History,Fall 2025
111516,7.4,0.276,1.9,2.31,45.4,2.38,6,0,1,17.3,0,computer science,Fall 2024
104373,11.1,0.666,0.4,2.93,62.5,3.14,9,0,0,5.5,0,Engineering,Fall 2025
112292,9.1,0.649,0.3,2.89,59.1,2.81,12,1,0,24.2,0,Nursing,Fall 2025
113206,9.0,0.718,6.6,3.22,69.2,3.53,18,0,0,15.6,1,CS,Fall 2024
104206,9.2,0.791,0.2,2.73,67.8,3.35,15,1,0,7.3,1,Psychology, fall 2025 
102759,10.7,0.796,2.5,3.17,72.5,3.36,15,1,0,3.9,0,Biology,Fall 2025
102587,5.9,0.62,5.7,2.83,53.2,2.83,15,1,0,2.1,0,History,Fall 2025
108783,4.9,0.311,3.3,1.74,27.3,2.28,15,0,0,19.9,1,Engineering,Fall 2024
110811,13.2,0.491,1.0,2.03,39.5,2.44,12,1,0,18.7,0,CS,Fall 2025
108648,7.9,0.787,3.4,3.6,86.7,3.44,18,1,0,3.3,0,Biology,Spring 2025
112899,6.2,0.571,1.0,2.45,58.6,2.6,12,1,0,5.2,1,History,Fall 2024
110255,6.7,0.758,10.7,3.1,72.4,3.21,15,1,0,2.5,0,Engineering,Fall 2025
108756,3.5,0.417,3.7,2.06,64.3,2.14,12,0,0,8.8,1,Engineering,Fall 2024
110951,7.3,0.499,1.1,3.02,54.7,2.9,12,0,1,1.5,0,Business,Fall 2024
113398,13.0,0.87,1.0,3.2,71.5,3.7,15,0,0,2.9,0,Biology,Fall 2025
105323,5.5,0.652,1.4,2.61,56.4,2.68,9,1,0,1.8,0,History,Fall 2024
102155,7.5,0.497,5.7,2.85,55.7,2.78,15,1,1,,1,BUS,Spring 2025
110001,12.4,0.891,0.0,3.74,78.5,4.0,12,0,1,4.5,0,Nursing,Fall 2024
103873,3.3,0.857,0.3,3.67,76.9,3.46,12,1,0,20.1,0,Psychology,Fall 2024
109680,4.2,0.574,1.0,2.92,53.1,2.9,15,0,0,46.3,0,Business,Fall 2024
114401,5.2,0.213,1.6,1.55,43.6,2.4,12,1,0,3.2,1,History,Spring 2025
101723,14.1,0.967,8.7,3.42,84.3,4.0,12,1,0,5.4,0,Business,Spring 2025
109256,1.2,0.585,1.6,2.77,,2.83,18,1,0,24.4,1,CS,Fall 2025
103182,6.3,0.531,0.6,2.27,50.4,2.65,12,1,0,14.3,0,Engineering,Spring 2025
101414,1.7,0.787,1.9,2.13,63.7,2.45,18,1,0,14.2,1,Comp Sci,Fall 2025
112214,8.9,0.965,2.2,3.53,77.6,3.85,12,0,0,8.0,0,Nursing,Fall 2024
114326,10.1,0.876,5.0,3.11,61.8,3.27,12,0,0,21.3,0,Computer Science,Spring 2025
105279,6.3,0.624,0.5,2.94,73.6,3.1,18,0,1,1.6,0,History,Spring 2025
107049,10.1,0.794,0.0,3.32,66.1,3.2,15,0,0,7.7,0,Business,Spring 2025
112009,7.5,0.827,5.3,2.98,71.5,3.21,18,0,0,8.1,0,Engineering,Fall 2024
103433,2.6,0.481,4.4,1.92,42.7,2.36,6,0,0,,1,Engineering,Fall 2024
101977,11.0,0.839,4.9,3.59,72.3,3.2,12,0,1,4.7,1,Engineering,Fall 2024
110216,10.3,0.917,2.3,3.08,49.4,3.2,12,0,1,5.4,0,Business,Fall 2025
102895,6.5,0.564,3.3,2.63,48.8,3.37,12,0,0,20.0,1,Biology,Spring 2025
103801,8.0,0.542,6.7,1.92,46.2,2.41,12,1,0,6.0,1,Psychology,Spring 2025
108605,11.1,0.483,3.1,2.13,50.7,2.73,6,1,0,2.4,1,BUS,Fall 2025
109328,2.2,0.669,0.8,1.59,50.7,2.45,9,1,0,13.7,1,Psychology,Fall 2025
107383,15.2,0.817,0.0,3.34,71.2,3.53,12,0,0,3.0,0,Biology,Fall 2024
111240,12.1,0.906,1.3,3.35,70.9,3.63,18,1,1,2.9,0,Engineering,Fall 2024
102864,3.8,0.504,7.0,2.5,63.0,2.73,9,0,0,0.4,1,Psychology,Fall 2025
104953,4.9,0.701,0.5,2.52,55.3,2.7,15,0,1,0.5,1,Nursing,Fall 2025
106219,6.8,0.651,3.5,2.54,56.9,3.12,18,1,0,0.9,1,Engineering,Fall 2024
101302,9.3,0.63,1.3,3.54,70.0,2.82,18,1,1,12.8,0,Nursing,Spring 2025
101066,1.0,0.621,2.3,1.85,48.0,2.37,15,1,0,13.8,0,Comp Sci,Spring 2025
110366,4.8,0.257,4.0,2.13,39.0,2.21,12,0,1,3.5,1,Engineering,Spring 2025
111056,8.5,0.512,3.7,2.44,56.8,2.89,15,0,0,26.9,0,Business,Fall 2025
113312,9.4,0.868,0.0,3.11,77.9,3.63,12,1,0,5.7,0,Biology,Spring 2025
105522,8.7,0.378,3.1,2.57,54.8,2.33,9,1,0,2.5,1,Comp Sci,Fall 2025
103809,4.6,0.818,4.2,3.2,89.6,2.98,18,0,1,5.5,0,Nursing,Fall 2025
114729,12.2,0.676,4.4,2.7,72.3,2.97,12,1,0,3.2,0,Engineering,Spring 2025
104804,2.8,0.798,0.7,3.01,66.9,3.16,18,1,1,1.1,0,Biology,Fall 2025
109565,13.5,,1.1,1.83,44.9,2.44,15,1,0,15.8,1,Nursing,Fall 2025
108506,2.4,0.469,1.0,2.41,43.4,2.54,12,0,0,1.5,1,Psychology,Fall 2025
102883,10.0,0.782,3.6,2.54,46.6,2.27,9,1,0,9.5,0,Business,Fall 2025
